epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.583,1.41009,2.68676,1.19961,0.71388,0.65091,0.72012,0.51719,1.1905,2.11877,1.36309,0.000665169,0.000665169,0.000665169
2,114.292,1.5377,1.91436,1.28917,0.56984,0.67391,0.69595,0.47971,1.22904,2.14289,1.43319,0.00124393,0.00124393,0.00124393
3,220.629,1.54885,1.58047,1.29223,0.85085,0.6087,0.78332,0.54635,1.16893,1.71199,1.36137,0.0017347,0.0017347,0.0017347
4,406.226,1.42297,1.27079,1.24329,0.75471,0.76922,0.81037,0.57334,1.24892,1.30699,1.40329,0.001604,0.001604,0.001604
5,590.474,1.42131,1.16797,1.23117,0.8814,0.8886,0.9281,0.70173,0.99612,0.88559,1.2233,0.001472,0.001472,0.001472
6,781.193,1.4074,1.14156,1.23909,0.90395,0.79348,0.90187,0.69408,1.0436,1.04013,1.22557,0.00134,0.00134,0.00134
7,967.078,1.37461,1.02038,1.20287,0.98125,0.76087,0.92552,0.70311,0.99618,0.96709,1.22475,0.001208,0.001208,0.001208
8,1372.37,1.36585,1.00926,1.19485,0.92346,0.8587,0.94815,0.75055,0.88801,0.74993,1.13344,0.001076,0.001076,0.001076
9,1425.69,1.29853,0.91668,1.15905,0.96282,0.86957,0.95048,0.72633,0.96714,0.764,1.21104,0.000944,0.000944,0.000944
10,1479.16,1.31002,0.88823,1.1522,0.95892,0.8913,0.95624,0.74463,0.91119,0.69825,1.15413,0.000812,0.000812,0.000812
11,1603.76,1.25485,0.80798,1.13599,0.86997,0.90217,0.95062,0.72154,0.97373,0.75096,1.1884,0.00068,0.00068,0.00068
12,1790.69,1.24732,0.78014,1.13281,0.91569,0.93478,0.96488,0.75314,0.91882,0.59949,1.11566,0.000548,0.000548,0.000548
13,1975.74,1.20835,0.74159,1.10723,0.92403,0.96739,0.98009,0.79419,0.83014,0.52542,1.08247,0.000416,0.000416,0.000416
14,2160.16,1.19194,0.72772,1.10443,0.91399,0.92411,0.97518,0.7884,0.81139,0.53238,1.06105,0.000284,0.000284,0.000284
15,2344.25,1.16983,0.68603,1.09451,0.91602,0.96739,0.9775,0.79395,0.80706,0.51277,1.05256,0.000152,0.000152,0.000152
